ResidentID,Age,ModeOfTransport,DailyDistance,CarbonEmissionFactor,AverageDayPerMonth
C001,34,Car,18,0.23,22
C002,21,Bicycle,6,0,24
C003,45,Bus,15,0.06,20
C004,29,Carpool,12,0.15,23
C005,52,Walking,4,0,21
C006,38,Car,20,0.22,25
C007,26,Bus,14,0.05,19
C008,19,Bicycle,5,0,26
C009,41,Carpool,16,0.17,22
C010,33,Car,22,0.24,24
C011,27,Walking,3,0,20
C012,48,Bus,18,0.07,21
C013,36,Car,19,0.21,23
C014,23,School Bus,11,0.05,22
C015,39,Carpool,13,0.16,18
C016,28,Bicycle,7,0,24
C017,31,Car,17,0.23,25
C018,44,Bus,16,0.06,20
C019,22,Walking,2,0,23
C020,35,Car,21,0.22,22
C021,40,Carpool,15,0.14,24
C022,30,Bus,12,0.05,19
C023,50,Car,23,0.25,21
C024,24,Bicycle,8,0,26
C025,37,Car,18,0.21,20
C026,42,School Bus,14,0.06,22
C027,33,Carpool,17,0.18,23
C028,29,Walking,4,0,21
C029,55,Bus,19,0.07,24
C030,46,Car,20,0.24,22
C031,27,Car,16,0.22,23
C032,43,Bus,14,0.05,21
C033,22,Bicycle,7,0,25
C034,36,Carpool,18,0.16,22
C035,49,Walking,3,0,20
C036,31,Car,19,0.24,24
C037,28,School Bus,12,0.06,23
C038,54,Car,21,0.23,19
C039,25,Bus,15,0.07,22
C040,38,Carpool,17,0.15,26
C041,33,Bicycle,6,0,24
C042,47,Car,20,0.25,21
C043,29,Walking,4,0,23
C044,41,Bus,18,0.06,20
C045,52,Car,22,0.24,22
C046,24,Carpool,13,0.14,25
C047,35,Bicycle,8,0,26
C048,44,Car,19,0.22,21
C049,30,Bus,16,0.05,24
C050,26,Walking,2,0,22
C051,39,Car,18,0.23,23
C052,58,Carpool,20,0.17,19
C053,32,School Bus,11,0.05,24
C054,21,Bicycle,5,0,26
C055,45,Car,23,0.24,20
C056,37,Bus,14,0.06,22
C057,28,Carpool,15,0.16,23
C058,50,Walking,3,0,21
C059,34,Car,17,0.22,25
C060,42,Bus,19,0.07,20
C061,29,Car,18,0.23,22
C062,46,Bus,15,0.06,21
C063,23,Bicycle,6,0,25
C064,37,Carpool,17,0.15,24
C065,51,Walking,3,0,20
C066,34,Car,20,0.24,23
C067,28,School Bus,12,0.05,22
C068,43,Car,19,0.22,26
C069,26,Bus,14,0.07,19
C070,39,Carpool,16,0.16,21
C071,31,Bicycle,7,0,24
C072,48,Car,22,0.25,20
C073,27,Walking,4,0,23
C074,44,Bus,18,0.05,22
C075,53,Car,21,0.24,24
C076,25,Carpool,13,0.14,26
C077,36,Bicycle,8,0,25
C078,41,Car,19,0.23,21
C079,30,Bus,16,0.06,23
C080,24,Walking,2,0,22
C081,38,Car,17,0.21,24
C082,55,Carpool,20,0.17,20
C083,33,School Bus,11,0.06,23
C084,22,Bicycle,5,0,26
C085,47,Car,23,0.25,19
C086,35,Bus,14,0.05,22
C087,29,Carpool,15,0.18,24
C088,52,Walking,3,0,21
C089,40,Car,18,0.22,25
C090,45,Bus,19,0.07,20
C091,28,Car,16,0.23,23
C092,49,Bus,17,0.06,22
C093,21,Bicycle,6,0,24
C094,32,Carpool,14,0.15,25
C095,54,Walking,4,0,19
C096,37,Car,20,0.24,21
C097,26,School Bus,10,0.05,23
C098,42,Car,19,0.22,22
C099,30,Bus,15,0.07,24
C100,34,Carpool,16,0.16,20
C101,23,Bicycle,7,0,26
C102,50,Car,21,0.25,21
C103,39,Bus,18,0.06,22
C104,27,Walking,3,0,23
C105,44,Car,22,0.24,20
C106,31,Car,18,0.22,24
C107,47,Bus,16,0.06,21
C108,24,Bicycle,6,0,25
C109,36,Carpool,14,0.15,23
C110,52,Walking,3,0,20
C111,29,Car,20,0.24,22
C112,41,School Bus,11,0.05,24
C113,33,Car,19,0.23,21
C114,27,Bus,15,0.07,22
C115,45,Carpool,17,0.16,25
C116,22,Bicycle,5,0,26
C117,38,Car,21,0.25,19
C118,50,Walking,4,0,23
C119,34,Bus,18,0.06,20
C120,28,Carpool,16,0.17,24
C121,43,Car,22,0.24,22
C122,26,Bicycle,7,0,25
